grant_number;year;research_area;research_institution_type;has_collab_switzerland;has_collab_europe;has_collab_north_am;has_collab_asia;has_collab_latin_am;has_collab_oceania;has_collab_africa
170428;2017;Humanities and Social Sciences;Cantonal university;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
170435;2017;Humanities and Social Sciences;Cantonal university;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
170442;2017;Humanities and Social Sciences;Cantonal university;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
170453;2017;Humanities and Social Sciences;Cantonal university;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
170456;2017;Humanities and Social Sciences;Cantonal university;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
170460;2017;Humanities and Social Sciences;Cantonal university;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
170463;2017;Humanities and Social Sciences;Cantonal university;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
170479;2017;Humanities and Social Sciences;University of applied sciences;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
170484;2017;Humanities and Social Sciences;Cantonal university;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
170498;2017;Humanities and Social Sciences;Cantonal university;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
170503;2017;Humanities and Social Sciences;Cantonal university;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
170506;2017;Humanities and Social Sciences;Cantonal university;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
170511;2017;Humanities and Social Sciences;Cantonal university;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
170515;2017;Humanities and Social Sciences;Cantonal university;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
170523;2017;Mathematics, Natural- and Engineering Sciences;ETH Domain;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
170529;2017;Mathematics, Natural- and Engineering Sciences;Cantonal university;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
170534;2017;Mathematics, Natural- and Engineering Sciences;Cantonal university;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
170544;2017;Mathematics, Natural- and Engineering Sciences;Cantonal university;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
170547;2017;Mathematics, Natural- and Engineering Sciences;Cantonal university;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
170559;2017;Mathematics, Natural- and Engineering Sciences;Cantonal university;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
170560;2017;Mathematics, Natural- and Engineering Sciences;Cantonal university;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
170565;2017;Mathematics, Natural- and Engineering Sciences;Cantonal university;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
170575;2017;Mathematics, Natural- and Engineering Sciences;Cantonal university;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
170578;2017;Mathematics, Natural- and Engineering Sciences;Cantonal university;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
170587;2017;Humanities and Social Sciences;Cantonal university;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
170588;2017;Mathematics, Natural- and Engineering Sciences;Other;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
170589;2017;Mathematics, Natural- and Engineering Sciences;Cantonal university;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
170590;2017;Mathematics, Natural- and Engineering Sciences;ETH Domain;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
170591;2017;Mathematics, Natural- and Engineering Sciences;ETH Domain;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
170597;2017;Mathematics, Natural- and Engineering Sciences;Cantonal university;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
170604;2017;Biology and Medicine;ETH Domain;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
170607;2017;Biology and Medicine;Cantonal university;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
170621;2017;Biology and Medicine;Cantonal university;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
170623;2017;Biology and Medicine;Cantonal university;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
170624;2017;Biology and Medicine;Cantonal university;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
170625;2017;Biology and Medicine;Cantonal university;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
170627;2017;Biology and Medicine;Cantonal university;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
170645;2017;Biology and Medicine;ETH Domain;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
170654;2017;Biology and Medicine;Cantonal university;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
170656;2017;Biology and Medicine;Other;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
170664;2017;Biology and Medicine;Cantonal university;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
170667;2017;Mathematics, Natural- and Engineering Sciences;Cantonal university;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
170669;2017;Biology and Medicine;Cantonal university;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
170672;2017;Biology and Medicine;Other;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
170681;2017;Biology and Medicine;Cantonal university;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
170683;2017;Biology and Medicine;Cantonal university;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
170684;2017;Mathematics, Natural- and Engineering Sciences;ETH Domain;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
170687;2017;Mathematics, Natural- and Engineering Sciences;Cantonal university;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
170702;2017;Biology and Medicine;Cantonal university;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
172005;2017;Humanities and Social Sciences;Cantonal university;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
172008;2017;Humanities and Social Sciences;Cantonal university;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
172012;2017;Humanities and Social Sciences;Cantonal university;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
172013;2017;Humanities and Social Sciences;Cantonal university;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
172016;2017;Humanities and Social Sciences;Cantonal university;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
172025;2017;Humanities and Social Sciences;Cantonal university;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
172054;2017;Humanities and Social Sciences;Cantonal university;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
172060;2017;Humanities and Social Sciences;Cantonal university;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
172075;2017;Humanities and Social Sciences;Cantonal university;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
172078;2017;Humanities and Social Sciences;Cantonal university;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
172079;2017;Humanities and Social Sciences;Other;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
172100;2017;Humanities and Social Sciences;Cantonal university;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
172108;2017;Humanities and Social Sciences;Cantonal university;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
172115;2017;Humanities and Social Sciences;Cantonal university;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
172130;2017;Humanities and Social Sciences;Cantonal university;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
172141;2017;Humanities and Social Sciences;Cantonal university;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
172202;2017;Humanities and Social Sciences;Cantonal university;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
172268;2017;Humanities and Social Sciences;Cantonal university;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
